participant_id	WJ_PicVoc	WJ_WrdAtt
sub-213	n/a	n/a
sub-214	n/a	n/a
sub-218	114	114
sub-219	112	96
sub-220	86	115
sub-221	113	112
sub-222	n/a	n/a
sub-223	n/a	n/a
sub-224	n/a	n/a
sub-225	100	107
sub-226	119	107
sub-228	117	98
sub-229	103	116
sub-230	98	103
sub-231	105	117
sub-232	105	84
sub-233	117	112
sub-234	95	100
sub-235	n/a	n/a
sub-236	108	108
sub-237	n/a	n/a
sub-238	n/a	n/a
sub-240	100	85
sub-241	n/a	n/a
sub-242	n/a	n/a
sub-245	107	106
sub-246	90	121
sub-248	108	106
sub-250	116	108
sub-251	120	108
sub-253	n/a	n/a
sub-254	91	113
sub-256	126	99
sub-258	95	92
sub-259	102	94
sub-260	116	102
sub-262	103	98
sub-268	115	119
